Cell_ID,BSSID,RSSI,Mean,Std
Cell_10,d0:4d:c6:f2:81:00,-67,-64.4625,2.024498395
Cell_10,d0:4d:c6:f2:43:a0,-64,-62.2375,1.142844587
Cell_10,d0:4d:c6:f2:43:a1,-64,-62.5875,1.057044819
Cell_10,d0:4d:c6:f2:43:a2,-64,-62.6,1.090871211
Cell_10,1c:28:af:65:ba:42,-89,-87.5,1.38443731
Cell_10,1c:28:af:65:ba:41,-90,-86.58823529,2.302398328
Cell_10,d0:4d:c6:f2:fc:82,-64,-63.4691358,1.155624141
Cell_10,d0:4d:c6:f2:5d:52,-86,-86.45833333,1.079319487
Cell_10,d0:4d:c6:f2:5d:51,-85,-86.44285714,0.994782306
Cell_10,d0:4d:c6:f2:5d:50,-86,-86.45714286,0.995500079
Cell_10,d0:4d:c6:f2:81:02,-66,-64.575,2.023456202
Cell_10,1c:28:af:65:fd:d1,-83,-84.54878049,1.231224247
Cell_10,1c:28:af:65:fd:d0,-82,-84.14457831,1.327489978
Cell_10,1c:28:af:62:64:50,-80,-80.24691358,1.202167427
Cell_10,1c:28:af:62:64:51,-81,-80.43209877,1.143292534
Cell_10,d0:4d:c6:f2:50:90,-90,-84.64179104,1.542449037
Cell_10,1c:28:af:62:64:52,-80,-80.30120482,1.105680184
Cell_10,1c:28:af:65:fd:d2,-83,-84.25301205,1.240320338
Cell_10,d0:4d:c6:f2:34:e2,-86,-88,2.449489743
Cell_10,1c:28:af:61:e5:d2,-77,-79.33333333,1.598610508
Cell_10,1c:28:af:61:e5:d0,-77,-79.44578313,1.702252314
Cell_10,1c:28:af:61:e5:d1,-77,-79.42857143,1.685270321
Cell_10,d0:4d:c6:f2:fc:90,-59,-56.54216867,1.615446559
Cell_10,1c:28:af:61:e5:c1,-73,-80.35,1.558043645
Cell_10,1c:28:af:61:e5:c2,-74,-79.94117647,1.392018772
Cell_10,d0:4d:c6:f2:fc:92,-59,-56.63855422,1.595009637
Cell_10,d0:4d:c6:f2:fc:91,-59,-56.65060241,1.645978926
Cell_10,1c:28:af:61:e5:c0,-73,-80.35294118,1.813062942
Cell_10,1c:28:af:65:fe:b0,-85,-83.71875,1.605349942
